ZipCode,Month,Year,CustomerClass,Combined,TotalCustomers,TotalkWh,AveragekWh
92020,7,2024,C,N,2040,16440703,8059
92020,7,2024,I,Y,0,0,0
92020,7,2024,R,N,19555,11000564,563
92021,7,2024,A,Y,0,0,0
92021,7,2024,C,Y,0,0,0
92021,7,2024,I,Y,0,0,0
92021,7,2024,R,N,12772,8612760,674
92024,7,2024,A,Y,0,0,0
92024,7,2024,C,Y,0,0,0
92024,7,2024,I,Y,0,0,0
92024,7,2024,R,Y,4854,1513186,312
92025,7,2024,A,Y,0,0,0
92025,7,2024,C,Y,405,4188281,10341
92025,7,2024,I,Y,0,0,0
92025,7,2024,R,Y,2967,1319713,445
92026,7,2024,A,Y,0,0,0
92026,7,2024,C,N,92,1254280,13633
92026,7,2024,I,Y,0,0,0
92026,7,2024,R,N,3159,1637993,519
92027,7,2024,A,Y,0,0,0
92027,7,2024,C,Y,0,0,0
92027,7,2024,I,Y,0,0,0
92027,7,2024,R,Y,3133,1605539,512
92028,7,2024,A,Y,0,0,0
92028,7,2024,C,Y,0,0,0
92028,7,2024,I,Y,0,0,0
92028,7,2024,R,N,3754,1543910,411
92029,7,2024,A,Y,0,0,0
92029,7,2024,C,Y,0,0,0
92029,7,2024,I,Y,0,0,0
92029,7,2024,R,N,1235,1350925,1094
92036,7,2024,A,Y,0,0,0
92036,7,2024,C,Y,0,0,0
92036,7,2024,I,Y,0,0,0
92036,7,2024,R,Y,380,229536,604
92037,7,2024,A,Y,0,0,0
92037,7,2024,C,Y,0,0,0
92037,7,2024,I,Y,0,0,0
92037,7,2024,R,Y,5758,2232253,388
92040,7,2024,A,Y,0,0,0
92040,7,2024,C,Y,0,0,0
92040,7,2024,I,Y,0,0,0
92040,7,2024,R,N,3111,4075382,1310
92045,7,2024,C,Y,0,0,0
92045,7,2024,I,Y,0,0,0
92045,7,2024,R,Y,0,0,0
92049,7,2024,A,Y,0,0,0
92049,7,2024,C,Y,0,0,0
92049,7,2024,I,Y,0,0,0
92049,7,2024,R,Y,0,0,0
92054,7,2024,A,Y,0,0,0
92054,7,2024,C,Y,165,2579562,15634
92054,7,2024,I,Y,0,0,0
92054,7,2024,R,Y,2955,601170,203
92055,7,2024,A,Y,0,0,0
92055,7,2024,C,Y,0,0,0
92055,7,2024,I,Y,0,0,0
92055,7,2024,R,Y,0,0,0
92056,7,2024,A,Y,0,0,0
92056,7,2024,C,Y,0,0,0
92056,7,2024,I,Y,0,0,0
92056,7,2024,R,N,5546,674266,122
92057,7,2024,A,Y,0,0,0
92057,7,2024,C,Y,0,0,0
92057,7,2024,I,Y,0,0,0
92057,7,2024,R,Y,5266,632599,120
92058,7,2024,A,Y,0,0,0
92058,7,2024,C,Y,0,0,0
92058,7,2024,I,Y,0,0,0
92058,7,2024,R,Y,1528,874770,572
