91901,91906,91910,91911,91913,91914,91915,91931,91932,91935,91941,91942,91945,91950,91977,92004,92007,92008,92009,92010,92011,92014,92019,92020,92021,92024,92025,92026,92027,92028,92029,92036,92037,92040,92054,92055,92056,92057,92058,92059,92061,92064,92065,92067,92069,92070,92071,92075,92078,92081,92082,92083,92084,92086,92093,92101,92102,92103,92104,92105,92106,92108,92109,92110,92111,92113,92114,92115,92116,92117,92118,92119,92120,92121,92122,92123,92126,92127,92128,92129,92130,92131,92132,92135,92136,92139,92145,92154,92155,92161,92173,92182,92624,92629,92649,92651,92653,92656,92672,92673,92675,92677,92679,92688,92691,92692,92694,92697,95126,row_sum
47038,30810,1388644,2235668,39838,86932,292231,592,110593,9389,26833,332873,89717,1422265,96804,9920,37845,777966,795857,147528,223441,165008,432489,1379289,1421255,810356,670695,378306,175793,677430,618106,5075,2959708,494514,1646396,1910,711722,134034,24517,5173,2595,347157,209515,65161,552464,5890,786918,410415,922304,317322,354455,148446,201422,6798,19548,7693754,179256,527587,94444,47491,266780,965634,525985,491031,809452,286853,108691,329946,23573,171309,261079,77128,202996,881831,863906,1022597,1234948,2395740,456132,250375,2636231,179998,171,230,14907,27286,5257,805542,1226,30,213489,3604,6767,47149,62418,270011,260032,752345,403326,179617,254922,759468,27053,107707,328581,433383,442202,851,671943,54329234
47371,31516,1389366,2238335,39645,86904,292579,586,110389,9220,27189,333856,90180,1421894,96966,10133,38253,778753,797044,147287,223341,165340,431229,1377528,1418967,810278,671471,378021,175441,676682,616910,4989,2957459,494730,1644538,2000,713105,133205,24349,5131,2597,348096,209284,65108,552715,5837,785736,409832,921693,316981,355798,148850,201017,6763,19475,7690464,180826,527682,94207,47522,266288,963117,525179,491216,808378,285740,108263,329830,23465,170511,260087,77408,203282,882554,865126,1021655,1234545,2395200,455716,250790,2637010,179576,197,208,14970,27497,5091,806032,1173,30,213070,3777,6836,47338,62436,270797,259602,752372,402340,179064,254629,759118,27337,107694,328201,434145,442201,879,672144,54316777
47413,31167,1386381,2235192,39663,86548,292500,618,110448,9274,27161,333545,90530,1418837,96455,9971,38267,779833,797189,146812,222774,165089,432364,1379903,1417386,809352,671225,378445,175924,678879,618019,4969,2958752,495176,1650173,1972,714053,133349,24544,5205,2603,347519,209292,64796,552720,5578,785642,411725,921338,317286,354835,148659,201663,6680,19647,7695834,179657,527127,94547,47867,266413,963289,526185,490922,808928,284904,107830,329567,23704,170837,260657,77755,203262,880454,864634,1023720,1233237,2391964,456826,251383,2635913,179729,185,208,14941,27234,5089,807042,1261,30,212506,3697,6869,46857,62224,271109,260836,751712,404062,178901,254897,758287,27118,106914,327533,433748,441964,854,672585,54321148
47030,31122,1388304,2235339,39761,87245,292882,608,110608,9251,27141,333855,90698,1420206,97467,9839,37965,777521,795816,146857,223165,165137,432620,1378803,1420914,812272,671494,378505,175676,677335,616383,4887,2957422,495293,1646020,2002,712946,133989,24364,4945,2637,347961,209454,64632,551335,5728,784829,409449,921369,316846,354600,148215,201354,6827,19514,7694729,179676,528075,94769,47670,266973,961941,526588,491525,810231,285544,108893,330663,23678,170674,260067,77409,203722,879151,863962,1020145,1234733,2393891,455589,251008,2633886,179540,206,233,14742,27546,5071,806481,1196,16,213654,3786,6802,46921,62452,270145,260069,752923,402825,179629,255314,759148,27426,108020,327381,433948,441256,893,671610,54312862
47206,31147,1386178,2237742,39605,87030,293126,618,109768,9405,26751,332137,89974,1420847,96198,9938,38287,778757,795435,148211,223268,164704,432000,1379287,1419187,810563,671601,377966,175474,677806,616822,4914,2961467,496326,1647513,2001,713232,132829,24426,5141,2609,347922,209045,65309,552247,5728,784972,410406,920823,316828,356006,148290,200778,6803,19668,7693793,180146,529051,93885,47780,267107,963983,526559,492036,809925,286606,108030,329660,23428,171000,260189,77367,204060,882679,864371,1019989,1234802,2393569,455255,250654,2636898,180288,196,189,14649,27185,5161,806921,1204,31,213813,3629,6803,47313,62251,269736,260295,753238,404232,179564,253720,759420,27418,107369,328145,433611,442260,947,671041,54325772
47002,31323,1387210,2238104,39812,86870,293257,633,109968,9350,27095,332827,90010,1422076,97158,10120,38151,778047,797133,147175,222735,165143,431728,1380538,1420610,810603,671544,380228,175934,677678,616629,4995,2959451,495976,1644498,1906,713357,133529,24349,5173,2609,347330,208988,65146,551717,5729,784885,410824,921519,316753,355584,148625,201953,6680,19339,7697167,180625,526379,94948,47825,267051,964591,525743,489993,808887,286109,108222,329663,23715,170301,260043,77705,203212,880040,865192,1023319,1232264,2392032,455494,251009,2637066,179082,217,200,14997,27211,5159,807018,1257,32,213767,3698,6687,47052,62515,270293,259669,752104,403520,179192,255247,758152,27416,107457,327669,433971,441168,966,669977,54321894
46852,30806,1385691,2239384,39635,87050,293109,603,110265,9226,26815,332348,91009,1420498,96602,9913,37985,779066,796470,146230,223035,164228,432288,1377807,1419191,809994,670813,377808,174919,679333,616766,5003,2957643,495731,1647715,2066,712197,132732,24471,5147,2676,346917,208611,64716,552294,5721,785749,409613,921134,316888,355736,148337,201844,6782,19617,7699969,179476,528087,94396,47566,266852,962713,526289,491727,808504,286220,109181,330003,23604,171284,260690,77512,203234,880858,863494,1021456,1232447,2393973,456172,250471,2635411,180142,206,208,14835,27504,5223,805015,1239,23,214306,3826,6729,46840,62498,270376,259504,751230,402906,179600,254809,758836,27512,107112,327919,434183,442643,968,670899,54313759
46662,31191,1387157,2235891,40105,86558,291856,633,110187,9488,27324,331677,90319,1421369,96869,9970,38288,779131,794761,147245,223295,164485,430787,1379729,1421962,810080,672941,379175,176602,679873,615726,5012,2960568,495194,1647481,1988,713825,133446,24676,5174,2612,347219,208962,64518,551726,5795,786661,409067,921168,316160,354822,148331,201881,6641,19609,7693772,180172,528043,94335,47754,266750,965375,526051,490964,810272,286320,108558,329716,23926,171002,260626,77773,203818,881026,865111,1019964,1234252,2396174,455922,250976,2637645,179694,220,202,14831,27526,5093,806137,1262,30,213656,3744,6809,46817,61837,270257,260450,753325,403194,179109,255244,758528,27745,107313,328063,432667,441259,902,672107,54328190
47057,31193,1387695,2240734,40141,86662,294019,633,109946,9492,26817,332822,90468,1420841,97587,10038,38363,777828,797072,148107,223357,165158,431890,1378098,1417710,810064,672211,378736,176072,678264,616407,4925,2959582,494511,1647547,1970,711745,133908,24815,5154,2573,347748,208002,64549,552502,5729,785536,409380,919979,316328,353920,148583,201522,6744,19423,7692200,179739,528052,94971,48090,266274,962012,526005,491182,810645,285232,108140,329813,23751,171090,260730,77277,204011,881629,864527,1022886,1231866,2393861,455454,251344,2637638,180010,204,196,14786,27626,5275,806742,1202,26,212915,3724,6836,47338,62275,270093,260308,752283,403425,179887,255258,758053,27220,106868,328125,434753,442278,917,672805,54322004
46813,31069,1385085,2236653,39903,87019,292447,637,110340,9301,26933,332308,89846,1422087,97578,10026,38258,778655,795376,146562,222499,164855,431887,1379213,1420372,810210,670779,379780,176352,678686,617421,4937,2959582,495842,1645747,2033,714311,133492,24699,5017,2710,348201,208307,65132,552081,5687,783416,409934,918429,316768,355869,148147,200693,6823,19439,7696527,180158,528414,94301,47692,266741,963913,526651,491083,807416,286040,108257,329710,23729,171039,260597,77506,203233,879727,866298,1023080,1234665,2396499,456140,250343,2632511,179791,209,229,14755,27296,5080,806152,1175,25,213784,3657,6849,47152,62245,270582,260354,750399,403157,179865,254448,758536,27602,107747,327795,433688,441616,962,671117,54314783
47220,31062,1387983,2238679,39797,87120,292852,627,110252,9410,26975,333132,90128,1418116,96557,9799,37952,779757,794259,146096,223584,164878,432423,1377701,1418916,811620,670241,378065,176602,678537,618055,4986,2959736,494419,1647961,2002,712477,133397,24546,5015,2614,347112,209228,64971,552370,5710,785603,410032,920522,317465,354220,148500,201635,6900,19657,7696327,180592,527503,94410,47724,266289,962619,526501,492047,808935,286558,108131,330373,23698,170758,260417,77432,202589,880726,865425,1023935,1235618,2390204,455743,250653,2635411,180128,202,237,15032,27535,5076,804869,1220,30,213166,3811,6828,47466,62274,270433,260656,751801,403515,179643,255123,759773,27485,107306,326691,433737,440602,950,671177,54316857
